成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬勢力, 分組
速農丨燒餅, 35, 9929166, 111164, 2425, 0, 62723034, 160335, 29800, 0, 24843, 山陽東郡, 速農
低調丨柯夢, 56, 12561172, 58003, 1971, 0, 68505817, 125776, 28208, 1787349, 26676, 山陽東郡, 速農
速農丨衛斯理, 8, 18892377, 169346, 2033, 0, 80634453, 344531, 24631, 52098, 28200, 山陽東郡, 速農
管之軼, 68, 13279870, 80548, 2628, 0, 56154783, 128476, 19353, 1194374, 22273, 山陽東郡, 天農
花丨花花瘋瘋, 61, 4344522, 70856, 700, 0, 73094156, 140026, 7639, 0, 22390, 山陽東郡, 賊
梟丨剎車, 191, 3662877, 0, 252, 0, 28786200, 0, 11741, 578096, 17656, 山陽西郡, 未分組
七劍l萬, 6, 20753574, 186913, 350, 0, 115963559, 355649, 24299, 104863, 30220, 山陽東郡, 七劍
七劍l荒, 78, 9680525, 45507, 966, 0, 48618012, 90916, 17523, 109024, 24260, 山陽東郡, 七劍
夜梟丨黑咪, 36, 9403191, 87795, 504, 0, 59673689, 177362, 16252, 30913, 27370, 山陽東郡, 梟
賊丨狠爺, 59, 6354900, 65068, 3193, 0, 56389616, 125715, 33280, 0, 21030, 山陽東郡, 賊
呆丨西郎, 49, 6229977, 100660, 950, 0, 67836105, 153762, 20303, 157298, 30090, 山陽東郡, 七劍
呆丨北郎, 69, 5781470, 60339, 1302, 0, 32255382, 114786, 19955, 377797, 22830, 山陽東郡, 七劍
夜梟丨夜雨, 161, 4519678, 29689, 50, 0, 23770928, 46314, 2570, 492055, 17826, 山陽東郡, 梟
夜梟丨蒼龍, 92, 4368375, 49212, 1211, 0, 48134567, 81514, 12169, 0, 21376, 山陽東郡, 梟
七劍l柯, 51, 26739653, 96032, 2009, 0, 88852182, 155160, 26542, 0, 32790, 山陽東郡, 七劍
香丨名牌, 24, 26624168, 96277, 850, 0, 112536249, 211956, 13052, 0, 28095, 山陽東郡, 速農
速農丨曹青, 4, 25239336, 264980, 418, 0, 123619675, 414816, 11979, 0, 37190, 山陽東郡, 速農
速農丨P, 1, 25081291, 260431, 1005, 0, 134532763, 554879, 12663, 191349, 31330, 山陽東郡, 速農
速農丨基囝, 55, 24188876, 74939, 856, 0, 87948394, 116466, 24305, 68703, 25690, 山陽東郡, 速農
天兵丨家信, 145, 22929132, 24962, 350, 0, 64054974, 50730, 4557, 155842, 22070, 山陽東郡, 梟
酒館丨蜘蛛, 53, 22847007, 38228, 2638, 0, 62176153, 101163, 25675, 225171, 26130, 山陽東郡, 速農
忍者龜, 103, 21578133, 53317, 640, 0, 67239490, 84818, 7916, 0, 27339, 山陽東郡, 天農
寂寞的沙漠, 140, 21479867, 52018, 217, 0, 45039205, 60353, 2317, 0, 25090, 山陽東郡, 賊
速農丨瑋哥, 39, 21466451, 96294, 820, 0, 89738200, 159695, 13612, 0, 30480, 山陽東郡, 速農
無敵の螢火蟲, 21, 21142044, 175589, 0, 0, 91686744, 261421, 2444, 201406, 30679, 山陽東郡, 速農
七劍l馳, 17, 20858963, 140421, 3306, 0, 99349870, 268712, 22934, 72283, 31520, 山陽東郡, 七劍
速農丨微涼風, 5, 20820072, 188050, 700, 0, 85546350, 375205, 10716, 80892, 31720, 山陽東郡, 速農
速農丨麥秋, 13, 20323234, 137475, 4123, 0, 91318654, 251923, 23692, 91510, 30212, 山陽東郡, 速農
摆烂丨椰子, 26, 20162939, 84850, 791, 0, 93283488, 152232, 27847, 239735, 29779, 山陽東郡, 速農
方圓姜子牙, 112, 19676643, 24082, 1050, 0, 50821586, 52576, 9402, 92257, 23893, 山陽東郡, 賊
七劍l富, 20, 19364082, 116927, 1624, 0, 80767877, 239407, 23684, 60685, 30970, 山陽東郡, 七劍
正版周姐轮, 135, 19312772, 31460, 182, 0, 60748744, 52524, 9828, 454087, 26016, 山陽東郡, 天農
Bululu, 106, 18922530, 39700, 1547, 0, 72079242, 63099, 17902, 114020, 27290, 山陽東郡, 天農
馬甲丨傲西狼, 174, 18321934, 25848, 185, 0, 33022691, 28667, 806, 35524, 21713, 東平國, 賊
北境丨嘯西風, 34, 17712159, 95856, 1835, 472627, 75471817, 193992, 11654, 930153, 27830, 山陽東郡, 梟
黃雀先生, 23, 17608801, 114164, 1202, 0, 66403913, 187746, 28843, 413407, 27119, 山陽東郡, 七劍
SP路爾斯, 46, 17572129, 84747, 504, 0, 105882856, 167272, 15490, 157283, 34413, 山陽東郡, 速農
兆, 122, 17227506, 37900, 350, 0, 61859962, 58044, 12812, 0, 21430, 山陽東郡, 速農
龍捲丨風, 16, 17154239, 161025, 549, 0, 86336659, 301997, 23399, 132099, 29146, 山陽東郡, 速農
件衫跌緊落嚟, 57, 17147527, 87404, 1191, 0, 90424218, 139966, 20433, 0, 27663, 山陽東郡, 天農
皇朝, 179, 17034402, 13098, 0, 0, 39591882, 23090, 1501, 0, 21600, 山陽東郡, 梟
速農丨比利, 15, 17031198, 138007, 1855, 0, 103568645, 273836, 18187, 0, 29516, 山陽東郡, 速農
方圓古風, 128, 17012701, 22156, 0, 0, 47578580, 56764, 9324, 103849, 22700, 山陽東郡, 賊
心如刀割, 109, 16766493, 42234, 1155, 0, 45217254, 67312, 7743, 0, 20750, 山陽東郡, 梟
呆丨吉芸若, 84, 16738478, 56011, 1904, 0, 44754979, 76504, 20926, 0, 18530, 山陽東郡, 七劍
速農丨大吉, 7, 16721280, 190633, 1964, 0, 91766921, 321485, 20265, 158360, 30540, 山陽東郡, 速農
花丨羊羊, 93, 16685814, 53814, 1008, 121529, 73122866, 73839, 14284, 121529, 29473, 山陽東郡, 天農
一粒米, 129, 16683774, 21707, 812, 0, 59414423, 46611, 15777, 281893, 24840, 山陽東郡, 天農
農夫騎赤兔, 87, 16481110, 69463, 1100, 0, 51987323, 106686, 6423, 142672, 21945, 山陽東郡, 速農
七劍I帥, 74, 16429662, 72628, 1141, 0, 65985452, 106510, 16549, 248804, 26750, 山陽東郡, 七劍
天兵丨sku, 190, 16002878, 4770, 539, 0, 36943072, 12224, 1967, 118724, 22283, 山陽東郡, 梟
諸戩, 126, 15987249, 37727, 700, 0, 32878988, 70086, 2733, 221647, 22550, 山陽東郡, 梟
義丨蚵仔煎, 194, 15744396, 0, 1400, 0, 27857133, 32, 2201, 153135, 17200, 東平國, 天農
呆丨屍符, 19, 15544655, 146853, 1381, 0, 95081087, 250389, 20351, 12263, 31319, 山陽東郡, 七劍
七剑l龍, 33, 15509321, 97250, 2428, 0, 81545606, 162548, 31043, 87461, 28076, 山陽東郡, 七劍
夜梟丨南宮, 139, 15048681, 30918, 2541, 0, 39818463, 37482, 21205, 125142, 21456, 山陽東郡, 梟
