成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬勢力, 分組
速農丨燒餅, 37, 5893293, 37467, 1512, 0, 58687161, 86638, 28887, 0, 24820, 山陽東郡, 速農
低調丨柯夢, 56, 1686327, 6013, 1251, 0, 57630972, 73786, 27488, 1787349, 23300, 山陽東郡, 速農
管之軼, 78, 3533203, 18314, 2478, 0, 46408116, 66242, 19203, 1194374, 19893, 山陽東郡, 天農
速農丨衛斯理, 7, 2265180, 41730, 2033, 0, 64007256, 216915, 24631, 52098, 27080, 山陽東郡, 速農
花丨花花瘋瘋, 62, 1278513, 18336, 0, 0, 70028147, 87506, 6939, 0, 22393, 山陽東郡, 賊
梟丨剎車, 182, 3332300, 0, 252, 0, 28455623, 0, 11741, 578096, 17860, 山陽西郡, 未分組
七劍l萬, 6, 8031242, 41142, 0, 0, 103241227, 209878, 23949, 104863, 30090, 山陽東郡, 七劍
七劍l荒, 74, 4157475, 9501, 504, 0, 43094962, 54910, 17061, 109024, 21480, 山陽東郡, 七劍
夜梟丨黑咪, 30, 2485914, 34432, 504, 0, 52756412, 123999, 16252, 30913, 26730, 山陽東郡, 梟
賊丨狠爺, 48, 2258886, 20954, 1932, 0, 52293602, 81601, 32019, 0, 20780, 山陽東郡, 賊
呆丨西郎, 67, 1644396, 13036, 0, 0, 63250524, 66138, 19353, 157298, 29786, 山陽東郡, 七劍
夜梟丨夜雨, 166, 1567608, 7794, 0, 0, 20818858, 24419, 2520, 492055, 17709, 山陽東郡, 梟
夜梟丨蒼龍, 90, 1372194, 13686, 756, 0, 45138386, 45988, 11714, 0, 21150, 山陽東郡, 梟
呆丨北郎, 64, 921113, 18427, 1302, 0, 27395025, 72874, 19955, 377797, 21190, 山陽東郡, 七劍
寂寞的沙漠, 178, 11698305, 7869, 182, 0, 35257643, 16204, 2282, 0, 23990, 山陽東郡, 賊
速農丨瑋哥, 43, 8916975, 28993, 0, 0, 77188724, 92394, 12792, 0, 29390, 山陽東郡, 速農
天兵丨家信, 131, 8474073, 9799, 0, 0, 49599915, 35567, 4207, 155842, 20633, 山陽東郡, 梟
七劍I帥, 88, 8428302, 14927, 1106, 0, 57984092, 48809, 16514, 248804, 24090, 山陽東郡, 七劍
七劍l馳, 11, 8367471, 56624, 2616, 0, 86858378, 184915, 22244, 72283, 31600, 山陽東郡, 七劍
SP路爾斯, 55, 8361657, 11185, 504, 0, 96672384, 93710, 15490, 157283, 32883, 山陽東郡, 速農
香丨名牌, 19, 7990197, 41422, 0, 0, 93902278, 157101, 12202, 0, 27435, 山陽東郡, 速農
花丨羊羊, 113, 7716981, 4723, 1008, 0, 64154033, 24748, 14284, 0, 27389, 山陽東郡, 天農
