成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬勢力, 分組
速農丨燒餅, 38, 7240784, 64261, 2375, 0, 60034652, 113432, 29750, 0, 24840, 山陽東郡, 速農
低調丨柯夢, 62, 7767819, 25278, 1621, 0, 63712464, 93051, 27858, 1787349, 23943, 山陽東郡, 速農
速農丨衛斯理, 6, 6636825, 97836, 2033, 0, 68378901, 273021, 24631, 52098, 27720, 山陽東郡, 速農
管之軼, 70, 6299587, 48723, 2628, 0, 49174500, 96651, 19353, 1194374, 20173, 山陽東郡, 天農
花丨花花瘋瘋, 69, 2239144, 31304, 0, 0, 70988778, 100474, 6939, 0, 22393, 山陽東郡, 賊
梟丨剎車, 189, 3332300, 0, 252, 0, 28455623, 0, 11741, 578096, 17760, 山陽西郡, 未分組
七劍l萬, 3, 14472191, 124729, 0, 0, 109682176, 293465, 23949, 104863, 30000, 山陽東郡, 七劍
七劍l荒, 74, 6434636, 27617, 566, 0, 45372123, 73026, 17123, 109024, 22723, 山陽東郡, 七劍
夜梟丨黑咪, 29, 5616519, 69273, 504, 0, 55887017, 158840, 16252, 30913, 26730, 山陽東郡, 梟
賊丨狠爺, 48, 4581591, 45471, 2143, 0, 54616307, 106118, 32230, 0, 20790, 山陽東郡, 賊
呆丨西郎, 60, 3434256, 48966, 250, 0, 65040384, 102068, 19603, 157298, 29826, 山陽東郡, 七劍
夜梟丨夜雨, 156, 2858093, 22563, 50, 0, 22109343, 39188, 2570, 492055, 17866, 山陽東郡, 梟
夜梟丨蒼龍, 88, 2803330, 31899, 756, 0, 46569522, 64201, 11714, 0, 21310, 山陽東郡, 梟
呆丨北郎, 65, 1974740, 39507, 1302, 0, 28448652, 93954, 19955, 377797, 21190, 山陽東郡, 七劍
速農丨P, 1, 18486251, 135390, 0, 0, 127937723, 429838, 11658, 191349, 31130, 山陽東郡, 速農
寂寞的沙漠, 175, 16700499, 13305, 217, 0, 40259837, 21640, 2317, 0, 23990, 山陽東郡, 賊
七劍l馳, 13, 16035959, 89567, 3306, 0, 94526866, 217858, 22934, 72283, 32100, 山陽東郡, 七劍
速農丨瑋哥, 57, 15480721, 37608, 0, 0, 83752470, 101009, 12792, 0, 29530, 山陽東郡, 速農
香丨名牌, 20, 14607780, 62177, 350, 0, 100519861, 177856, 12552, 0, 27472, 山陽東郡, 速農
SP路爾斯, 49, 13243416, 41058, 504, 0, 101554143, 123583, 15490, 157283, 32880, 山陽東郡, 速農
摆烂丨椰子, 24, 13145014, 47778, 756, 0, 86265563, 115160, 27812, 239735, 29226, 山陽東郡, 速農
天兵丨家信, 141, 12587634, 13202, 0, 0, 53713476, 38970, 4207, 155842, 21030, 山陽東郡, 梟
忍者龜, 111, 12558463, 29241, 640, 0, 58219820, 60742, 7916, 0, 24046, 山陽東郡, 天農
七劍l柯, 61, 12447356, 51788, 2009, 0, 74559885, 110916, 26542, 0, 31053, 山陽東郡, 七劍
速農丨曹青, 10, 12370113, 103296, 350, 0, 110750452, 253132, 11911, 0, 36870, 山陽東郡, 速農
七劍l富, 18, 12168233, 75629, 1239, 0, 73572028, 198109, 23299, 60685, 30660, 山陽東郡, 七劍
皇朝, 172, 11984979, 10949, 0, 0, 34542459, 20941, 1501, 0, 21600, 山陽東郡, 梟
七劍I帥, 89, 11694099, 32080, 1106, 0, 61249889, 65962, 16514, 248804, 25030, 山陽東郡, 七劍
