成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬勢力, 分組
速農丨燒餅, 39, 7101821, 61481, 2375, 0, 59895689, 110652, 29750, 0, 24840, 山陽東郡, 速農
低調丨柯夢, 60, 7619688, 22528, 1621, 0, 63564333, 90301, 27858, 1787349, 23946, 山陽東郡, 速農
速農丨衛斯理, 6, 6247833, 90949, 2033, 0, 67989909, 266134, 24631, 52098, 27720, 山陽東郡, 速農
管之軼, 71, 5409427, 47318, 2628, 0, 48284340, 95246, 19353, 1194374, 20173, 山陽東郡, 天農
花丨花花瘋瘋, 66, 2239144, 31304, 0, 0, 70988778, 100474, 6939, 0, 22393, 山陽東郡, 賊
梟丨剎車, 188, 3332300, 0, 252, 0, 28455623, 0, 11741, 578096, 17760, 山陽西郡, 未分組
七劍l萬, 3, 13651025, 117818, 0, 0, 108861010, 286554, 23949, 104863, 30250, 山陽東郡, 七劍
七劍l荒, 75, 6098010, 20883, 566, 0, 45035497, 66292, 17123, 109024, 22720, 山陽東郡, 七劍
夜梟丨黑咪, 29, 5616519, 69273, 504, 0, 55887017, 158840, 16252, 30913, 26730, 山陽東郡, 梟
賊丨狠爺, 46, 4581591, 45471, 2143, 0, 54616307, 106118, 32230, 0, 20830, 山陽東郡, 賊
夜梟丨夜雨, 156, 2858093, 22563, 50, 0, 22109343, 39188, 2570, 492055, 17866, 山陽東郡, 梟
呆丨西郎, 67, 2844828, 37173, 250, 0, 64450956, 90275, 19603, 157298, 29826, 山陽東郡, 七劍
夜梟丨蒼龍, 86, 2803330, 31899, 756, 0, 46569522, 64201, 11714, 0, 21310, 山陽東郡, 梟
呆丨北郎, 63, 1888121, 37773, 1302, 0, 28362033, 92220, 19955, 377797, 21190, 山陽東郡, 七劍
速農丨P, 1, 18413270, 133928, 0, 0, 127864742, 428376, 11658, 191349, 31130, 山陽東郡, 速農
寂寞的沙漠, 175, 16700499, 13305, 217, 0, 40259837, 21640, 2317, 0, 23990, 山陽東郡, 賊
速農丨瑋哥, 54, 15480721, 37608, 0, 0, 83752470, 101009, 12792, 0, 29530, 山陽東郡, 速農
七劍l馳, 12, 14648012, 82946, 3306, 0, 93138919, 211237, 22934, 72283, 32100, 山陽東郡, 七劍
香丨名牌, 20, 14462064, 59261, 350, 0, 100374145, 174940, 12552, 0, 27452, 山陽東郡, 速農
SP路爾斯, 47, 13243416, 41058, 504, 0, 101554143, 123583, 15490, 157283, 32880, 山陽東郡, 速農
摆烂丨椰子, 24, 12680022, 41684, 756, 0, 85800571, 109066, 27812, 239735, 29206, 山陽東郡, 速農
忍者龜, 110, 12558445, 29240, 640, 0, 58219802, 60741, 7916, 0, 24046, 山陽東郡, 天農
速農丨曹青, 10, 12370113, 103296, 350, 0, 110750452, 253132, 11911, 0, 36870, 山陽東郡, 速農
天兵丨家信, 141, 12100305, 13202, 0, 0, 53226147, 38970, 4207, 155842, 21030, 山陽東郡, 梟
七劍l柯, 59, 12088988, 51788, 2009, 0, 74201517, 110916, 26542, 0, 31050, 山陽東郡, 七劍
七劍I帥, 87, 11645499, 32080, 1106, 0, 61201289, 65962, 16514, 248804, 24670, 山陽東郡, 七劍
七劍l富, 18, 11613152, 64526, 1239, 0, 73016947, 187006, 23299, 60685, 30660, 山陽東郡, 七劍
速農丨基囝, 50, 11367545, 48296, 806, 0, 75127063, 89823, 24255, 68703, 24610, 山陽東郡, 速農
北境丨嘯西風, 34, 10689789, 50158, 1485, 386742, 68449447, 148294, 11304, 844268, 28120, 山陽東郡, 梟
速農丨微涼風, 9, 10353666, 68690, 350, 0, 75079944, 255845, 10366, 80892, 30410, 山陽東郡, 速農
酒館丨蜘蛛, 40, 10334784, 21614, 1008, 0, 49663930, 84549, 24045, 225171, 24440, 山陽東郡, 速農
七劍l克, 58, 10264995, 40089, 882, 0, 70879706, 117818, 7551, 147269, 26510, 山陽東郡, 七劍
