成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬勢力, 分組
速農丨燒餅, 29, 33511151, 11737, 25985, 0, 38731344, 11737, 25985, 0, 23750, 山陽東郡, 速農
低調丨柯夢, 34, 37373752, 20984, 25887, 1614175, 42042195, 20984, 26237, 1614175, 22750, 山陽東郡, 速農
速農丨衛斯理, 14, 50365847, 52429, 22406, 0, 55050063, 52429, 22406, 0, 25540, 山陽東郡, 速農
管之軼, 83, 32222150, 10439, 16725, 751252, 35790176, 10439, 16725, 751252, 18360, 山陽東郡, 天農
花丨花花瘋瘋, 78, 53777325, 18789, 6539, 0, 57649628, 18789, 6539, 0, 22070, 山陽東郡, 賊
梟丨剎車, 157, 17008736, 0, 10754, 433719, 19490814, 0, 10754, 433719, 16850, 山陽西郡, 七劍
七劍l萬, 10, 75687072, 49370, 23139, 104863, 82339567, 49370, 23489, 104863, 28090, 山陽東郡, 七劍
呆丨西郎, 55, 46610105, 17830, 18108, 124302, 51123680, 17830, 18458, 124302, 26276, 山陽東郡, 七劍
夜梟丨黑咪, 62, 37931483, 24005, 15048, 30913, 42137582, 24005, 15748, 30913, 26250, 山陽東郡, 梟
夜梟丨蒼龍, 91, 35834207, 5084, 10958, 0, 35834207, 5084, 10958, 0, 21033, 山陽東郡, 梟
賊丨狠爺, 42, 33131037, 20168, 29787, 0, 35094849, 20168, 29787, 0, 17830, 山陽東郡, 賊
七劍l荒, 71, 27414287, 6762, 16155, 109024, 30679507, 6762, 16155, 109024, 18963, 山陽東郡, 七劍
呆丨北郎, 32, 22186959, 28082, 18303, 352561, 25171886, 28082, 18303, 352561, 21070, 山陽東郡, 七劍
夜梟丨夜雨, 180, 11406082, 37, 2520, 492055, 11406082, 37, 2520, 492055, 17566, 山陽東郡, 梟
速農丨曹青, 49, 84006853, 28685, 10803, 0, 89034391, 28685, 10803, 0, 32833, 東平國, 速農
速農丨P, 4, 79225414, 79566, 10748, 191349, 84271057, 79566, 10748, 191349, 30790, 山陽東郡, 速農
內塔尼夜壺, 1, 74858422, 61882, 11178, 0, 82022524, 61882, 11178, 0, 30900, 山陽東郡, 速農
速農丨比利, 15, 72740609, 43075, 16009, 0, 77109650, 43075, 16009, 0, 28590, 山陽東郡, 速農
SP路爾斯, 85, 70050229, 18795, 14745, 157283, 75081981, 18795, 14745, 157283, 29353, 山陽東郡, 速農
呆丨屍符, 25, 68856203, 23592, 18119, 0, 75203272, 23592, 18469, 0, 30530, 山陽東郡, 七劍
內塔夜尼壺, 16, 63838401, 38198, 19317, 0, 68363362, 38198, 19317, 0, 28812, 山陽東郡, 速農
帥哥大蘭交, 26, 63790881, 30697, 29296, 0, 66343055, 30697, 29296, 0, 30793, 山陽東郡, 賊
低調丨銅怪, 20, 63742540, 29377, 15942, 124614, 69319193, 29377, 16292, 124614, 25730, 山陽東郡, 速農
速農丨大吉, 3, 63025383, 48751, 17630, 148443, 68186257, 48751, 17630, 148443, 25683, 山陽東郡, 速農
件衫跌緊落嚟, 105, 62929597, 6427, 18092, 0, 66744869, 6427, 18092, 0, 22980, 東平國, 天農
SP香奈兒, 46, 62728516, 18011, 15207, 167655, 67827430, 18011, 15207, 167655, 27733, 山陽東郡, 速農
香丨名牌, 68, 62520246, 8712, 12010, 0, 67766968, 8712, 12010, 0, 26419, 山陽東郡, 速農
速農丨中吉, 6, 58921104, 34246, 25330, 200975, 63381815, 34246, 25680, 200975, 26210, 山陽東郡, 速農
速農丨麥秋, 5, 58066793, 30797, 19086, 0, 62965160, 30797, 19086, 0, 26796, 山陽東郡, 速農
香丨賀歷斯, 118, 57205298, 12978, 9296, 0, 62293597, 12978, 9296, 0, 25193, 山陽東郡, 速農
呆丨道友, 8, 56756694, 36154, 21587, 0, 61814586, 36154, 21587, 0, 27419, 山陽東郡, 七劍
魔項羽, 12, 56457260, 58640, 11619, 0, 62747506, 58640, 11619, 0, 28180, 山陽東郡, 速農
龍捲丨風, 35, 56134716, 31048, 22175, 50678, 60770531, 31048, 22175, 50678, 28536, 山陽東郡, 速農
七剑l强, 39, 55993216, 14625, 21321, 0, 60287022, 14625, 21321, 0, 25960, 山陽東郡, 七劍
低調丨橙, 50, 55485147, 12374, 19078, 0, 60413981, 12374, 19078, 0, 29220, 山陽東郡, 速農
七剑l龍, 38, 55313235, 11347, 27120, 0, 60701180, 11347, 27120, 0, 23283, 東平國, 七劍
無敵の螢火蟲, 153, 52796920, 10789, 2444, 143922, 52796920, 10789, 2444, 143922, 27242, 山陽東郡, 速農
速農丨蒙面俠, 27, 52686530, 29422, 15428, 462358, 56787457, 29422, 15428, 462358, 23730, 山陽東郡, 速農
速農丨伊蕾娜, 53, 52620574, 33760, 11419, 0, 57163397, 33760, 11419, 0, 29503, 山陽東郡, 速農
雙子, 56, 52032110, 10871, 23492, 150448, 56691950, 10871, 23842, 150448, 23543, 山陽東郡, 速農
速農丨微涼風, 7, 51593051, 64855, 9612, 80892, 56384301, 64855, 9612, 80892, 29560, 山陽東郡, 速農
七劍l馳, 21, 51356502, 28324, 17867, 0, 57208923, 28324, 17867, 0, 28643, 山陽東郡, 七劍
七劍l朱, 69, 50067101, 24159, 10663, 128634, 52004245, 24159, 10663, 128634, 28563, 山陽東郡, 七劍
路過的生命體, 51, 49265921, 13333, 15062, 0, 49265921, 13333, 15062, 0, 21890, 山陽東郡, 梟
王小羽, 19, 48565082, 14669, 24298, 236397, 52828903, 14669, 24648, 236397, 25048, 山陽東郡, 速農
速農丨瑋哥, 40, 48434742, 21546, 12472, 0, 48434742, 21546, 12472, 0, 26330, 山陽東郡, 速農
速農丨基囝, 59, 48196844, 10405, 23049, 61278, 53003558, 10405, 23049, 61278, 20240, 山陽東郡, 速農
内塔尼夜壺, 17, 48039406, 43666, 12509, 210737, 52684338, 43666, 12509, 210737, 24080, 山陽東郡, 速農
大輝, 179, 47316406, 4263, 2542, 0, 50461608, 4263, 2542, 0, 26960, 山陽東郡, 速農
呆丨子瑜, 31, 46959370, 24092, 7967, 579234, 50828843, 24092, 7967, 579234, 28590, 山陽東郡, 七劍
摆烂丨椰子, 2, 46520246, 28487, 26367, 219770, 50967566, 28487, 26717, 219770, 28890, 山陽東郡, 速農
酪梨好吃, 64, 46306770, 13612, 16023, 60249, 50441004, 13612, 16023, 60249, 20370, 山陽東郡, 天農
米乂雅嘎靡, 109, 45999549, 14097, 10422, 0, 47503692, 14097, 10772, 0, 22350, 山陽東郡, 七劍
不倦, 95, 45587109, 5365, 17632, 175641, 46125186, 5365, 17632, 175641, 26313, 山陽東郡, 七劍
鹹酥雞, 52, 45574791, 13488, 11628, 40413, 49464433, 13488, 11628, 40413, 24102, 山陽東郡, 賊
霸道龍王, 66, 45546670, 9552, 15862, 184382, 47429983, 9552, 16212, 184382, 21173, 山陽東郡, 速農
呆丨中蓈, 47, 45452644, 15576, 23518, 0, 50704518, 15576, 23518, 0, 24846, 山陽東郡, 七劍
七劍l克, 102, 45388849, 17725, 6218, 147269, 50721856, 17725, 6218, 147269, 26040, 山陽東郡, 七劍
酒館丨大GG, 98, 45114241, 9746, 11438, 115681, 48123873, 9746, 11788, 115681, 23293, 山陽東郡, 梟
花丨羊羊, 79, 44954027, 4800, 12891, 0, 49202429, 4800, 13241, 0, 22073, 山陽東郡, 天農
七劍l富, 9, 44913189, 48269, 20653, 60685, 50151344, 48269, 21003, 60685, 27360, 山陽東郡, 七劍
我想返屋企, 57, 44529922, 12593, 23177, 0, 49413957, 12593, 23527, 0, 24580, 山陽東郡, 天農
北境丨嘯西風, 114, 44449376, 12016, 8886, 238291, 49165717, 12016, 9236, 238291, 26910, 山陽東郡, 梟
七劍IH, 92, 43916795, 20560, 4346, 194167, 43916795, 20560, 4346, 194167, 25523, 山陽東郡, 七劍
左芸, 77, 42425916, 12139, 10519, 62460, 42425916, 12139, 10519, 62460, 22463, 山陽東郡, 梟
找謝丨武冽, 24, 42422480, 15537, 19712, 0, 46432560, 15537, 19712, 0, 28436, 山陽東郡, 速農
速農丨怕囝, 22, 42380423, 15003, 21823, 201197, 45455960, 15003, 22173, 201197, 20640, 山陽東郡, 速農
箂, 90, 42217926, 18724, 11361, 62169, 43815087, 18724, 11361, 62169, 22430, 山陽東郡, 速農
RON, 124, 42191626, 11625, 9371, 153031, 45407630, 11625, 9371, 153031, 20986, 山陽東郡, 速農
七劍l緊, 30, 42153164, 21332, 18778, 93731, 43993100, 21332, 19128, 93731, 22093, 山陽東郡, 七劍
七劍l霍, 36, 42000016, 23847, 21231, 0, 46850482, 23847, 21231, 0, 26530, 山陽東郡, 七劍
關北军, 134, 41932341, 3399, 12206, 0, 43376876, 3399, 12206, 0, 19770, 山陽東郡, 梟
老剛, 159, 41662608, 7942, 3679, 0, 43965822, 7942, 3679, 0, 20890, 山陽東郡, 賊
七劍l狀, 45, 41429697, 17763, 22313, 0, 47157565, 17763, 22663, 0, 26230, 山陽東郡, 七劍
速農丨樣囝, 37, 40982778, 21685, 20939, 73183, 44174479, 21685, 21289, 73183, 25170, 山陽東郡, 速農
七劍I睿, 76, 40217157, 6804, 22141, 0, 43256488, 6804, 22141, 0, 27353, 山陽東郡, 七劍
天兵丨夜吹雪, 44, 40087631, 13124, 14718, 86946, 40087631, 13124, 14718, 86946, 19753, 山陽東郡, 梟
小妹天天, 33, 39363675, 27617, 16424, 34054, 44458158, 27617, 16424, 34054, 23850, 山陽東郡, 天農
七劍l柯, 75, 39159887, 12106, 23517, 0, 42202071, 12106, 23867, 0, 27850, 山陽東郡, 七劍
李健豪, 115, 37964816, 16397, 5834, 96251, 39074429, 16397, 5834, 96251, 19665, 山陽東郡, 梟
農民丨聖祈, 117, 37122935, 8720, 13026, 0, 40767698, 8720, 13026, 0, 24220, 山陽東郡, 賊
七劍l書, 126, 36640794, 7349, 12900, 90495, 40361769, 7349, 12900, 90495, 22410, 東平國, 七劍
方圓戴歐克法, 23, 36532250, 9479, 27061, 201253, 39905294, 9479, 27411, 201253, 23060, 山陽東郡, 賊
芋妮布丁, 96, 35804612, 2534, 21960, 212789, 39984805, 2534, 22310, 212789, 22010, 山陽東郡, 天農
天兵丨醫聖鵲, 110, 35052076, 5256, 11245, 85745, 35052076, 5256, 11245, 85745, 19990, 山陽東郡, 梟
七劍l蠻, 65, 34707646, 9182, 18501, 188367, 38082850, 9182, 18851, 188367, 25610, 山陽東郡, 七劍
兆, 138, 34474183, 1104, 12192, 0, 34474183, 1104, 12192, 0, 19020, 東平國, 速農
夜丨kh, 119, 34329910, 4143, 12981, 161610, 34368887, 4143, 12981, 161610, 22777, 山陽東郡, 梟
速農丨小衛, 58, 34092754, 16857, 20228, 244050, 38224112, 16857, 20578, 367422, 16680, 山陽東郡, 速農
公益金牛, 80, 33927021, 7561, 26493, 0, 39519776, 7561, 26493, 0, 23340, 東平國, 速農
義火之王, 72, 33856143, 2905, 24753, 95770, 37240054, 2905, 24753, 95770, 17550, 東平國, 賊
七劍l哈, 160, 33728246, 6849, 3454, 165637, 33728246, 6849, 3454, 165637, 28400, 山陽東郡, 七劍
七劍l年, 103, 33443061, 5811, 19415, 0, 36189222, 5811, 19415, 0, 20323, 山陽東郡, 七劍
幻喵, 99, 33170766, 10322, 13219, 0, 33170766, 10322, 13219, 0, 20370, 山陽東郡, 梟
Bululu, 107, 32940050, 3292, 16254, 62613, 36055314, 3292, 16254, 62613, 21560, 東平國, 天農
軟昨天阮經天, 101, 32034058, 4066, 18152, 0, 37460116, 4066, 18152, 0, 22520, 山陽東郡, 天農
慈善羚羊, 129, 31861303, 6630, 12467, 0, 35905925, 6630, 12467, 0, 20413, 東平國, 速農
忍者龜, 151, 31660487, 6625, 6926, 0, 31734851, 6625, 6926, 0, 19380, 東平國, 天農
正版周姐轮, 140, 31373557, 5407, 9296, 166052, 32147161, 5407, 9296, 166052, 21910, 山陽東郡, 天農
天兵丨家信, 154, 31166229, 7008, 3857, 155842, 31166229, 7008, 3857, 155842, 20413, 山陽東郡, 梟
夜梟丨臥好, 148, 30717562, 3946, 8603, 253094, 33901971, 3946, 8953, 253094, 20309, 山陽東郡, 梟
呆丨野郎, 106, 30359206, 6417, 15374, 61387, 33769851, 6417, 15374, 61387, 22140, 山陽東郡, 七劍
速農丨嘴囝, 28, 30339651, 20967, 14325, 124688, 33217625, 20967, 14325, 124688, 17520, 山陽東郡, 速農
蔓, 82, 30269413, 8773, 13968, 92199, 30269413, 8773, 13968, 92199, 21276, 山陽東郡, 梟
前田丨慶次, 87, 30221934, 12175, 14839, 136776, 33809874, 12175, 14839, 136776, 22800, 東平國, 速農
黃雀先生, 18, 30158988, 17393, 27291, 413407, 33342163, 17393, 27641, 413407, 22809, 山陽東郡, 七劍
七劍I帥, 104, 30050403, 3629, 14891, 201552, 34297060, 3629, 15241, 201552, 22530, 山陽東郡, 七劍
速農丨様囝, 86, 29582139, 12853, 17572, 219220, 32405994, 12853, 17922, 219220, 21940, 山陽東郡, 速農
酒館丨蜘蛛, 11, 29571080, 22749, 22370, 212163, 29822403, 22749, 22370, 212163, 24123, 山陽東郡, 速農
賊丨宮砂曉, 93, 29422400, 7629, 16937, 206929, 29422400, 7629, 16937, 206929, 17120, 山陽東郡, 賊
一粒米, 97, 29408098, 10214, 14615, 281893, 32564885, 10214, 14965, 281893, 19560, 山陽東郡, 天農
關天澄, 43, 28821222, 6371, 27823, 61730, 32482138, 6371, 27823, 61730, 20050, 東平國, 天農
芝士烏龍, 108, 28659257, 2918, 18137, 176957, 32401222, 2918, 18487, 176957, 19903, 東平國, 天農
左晴嵐, 61, 28013526, 2691, 27748, 162523, 31639465, 2691, 28098, 162523, 19460, 東平國, 天農
七劍I雞, 13, 27920969, 41716, 18363, 0, 31385064, 41716, 18363, 0, 21780, 山陽東郡, 七劍
賊丨宮砂毀, 67, 27752181, 12497, 22208, 162261, 30046616, 12497, 22208, 162261, 19386, 山陽東郡, 賊
花丨咖哩餅, 70, 27678881, 10879, 19885, 123590, 30683181, 10879, 20235, 123590, 17930, 山陽東郡, 天農
西涼馬孟起, 164, 26347294, 1104, 5794, 0, 26347294, 1104, 5794, 0, 20320, 東平國, 賊
低調丨添香, 74, 26285811, 17814, 14805, 15918, 26921706, 17814, 14805, 15918, 20329, 山陽東郡, 速農
獵火, 132, 26124236, 0, 17209, 324056, 29141597, 0, 17209, 324056, 17300, 東平國, 賊
赤梟丨明智, 81, 25655656, 7778, 13072, 201202, 25655656, 7778, 13072, 201202, 17600, 山陽東郡, 賊
速農丨飄渺風, 54, 25619000, 17008, 21294, 66696, 29570960, 17008, 21294, 66696, 17228, 山陽東郡, 速農
沐血龔, 89, 25350709, 4154, 25322, 181822, 27688695, 4154, 25322, 181822, 18163, 山陽東郡, 天農
低調丨漫天, 131, 25344528, 6495, 8876, 50401, 27403519, 6495, 8876, 50401, 18172, 山陽東郡, 速農
農夫騎赤兔, 144, 25025101, 8157, 5012, 142672, 25037107, 8157, 5012, 142672, 19893, 東平國, 速農
以武再會友, 143, 24758394, 6712, 2274, 133565, 25076956, 6712, 2274, 133565, 18650, 東平國, 速農
白夜行, 116, 24680229, 2807, 17781, 60822, 27236064, 2807, 18131, 60822, 18833, 山陽東郡, 賊
炭烤极光, 48, 24238686, 6740, 23846, 330783, 24238686, 6740, 23846, 330783, 15638, 山陽東郡, 天農
夜梟丨青天, 100, 24150844, 9611, 7593, 46213, 24150844, 9611, 7593, 46213, 18270, 山陽東郡, 梟
候希白, 133, 23725774, 871, 14248, 65163, 26431543, 871, 14248, 65163, 17090, 東平國, 速農
賊丨大和, 122, 23366120, 3918, 8668, 0, 23366120, 3918, 8668, 0, 18903, 山陽東郡, 賊
呆丨吉芸若, 73, 23161523, 5458, 19022, 0, 23161523, 5458, 19022, 0, 18333, 山陽東郡, 七劍
夜梟丨姐夫, 175, 22465902, 2485, 3829, 0, 22774962, 2485, 3829, 0, 19790, 山陽東郡, 梟
速農丨刀魔, 94, 22287783, 15460, 9968, 201462, 22287783, 15460, 9968, 201462, 15626, 山陽東郡, 賊
teoh, 121, 22108289, 4359, 17979, 65411, 25343621, 4359, 17979, 65411, 18450, 山陽東郡, 天農
皇道丨製酒仙, 163, 21828731, 2226, 5825, 0, 21828731, 2226, 5825, 0, 17780, 東平國, 天農
夜梟丨知金, 136, 21815282, 4203, 6623, 0, 21815282, 4203, 6623, 0, 18450, 山陽東郡, 梟
鋼鐵頭, 165, 21774092, 3903, 3536, 0, 21774092, 3903, 3536, 0, 19460, 山陽東郡, 賊
賊丨墊神, 147, 21605487, 1508, 10815, 1335147, 21605487, 1508, 10815, 1335147, 18550, 山陽東郡, 賊
夜梟丨知銀, 60, 21542810, 134, 22916, 0, 24574731, 134, 23266, 0, 17900, 山陽東郡, 梟
方圓姜子牙, 111, 21474945, 4251, 7452, 60982, 21474945, 4251, 7452, 60982, 20350, 山陽東郡, 賊
天兵丨朴彩英, 186, 21297205, 0, 3360, 0, 21297205, 0, 3360, 0, 17210, 東平國, 梟
賊の賢, 120, 20873458, 10787, 9842, 0, 22316875, 10787, 10192, 0, 15290, 山陽東郡, 賊
速農丨青蛙, 88, 20769699, 2047, 19608, 65721, 23995979, 2047, 19958, 65721, 20196, 山陽東郡, 天農
皇道丨滾球獸, 135, 20718662, 8327, 6425, 0, 20718662, 8327, 6425, 0, 18890, 東平國, 天農
夜梟丨鳳, 63, 20413895, 10519, 19349, 163147, 20413895, 10519, 19349, 163147, 25749, 山陽東郡, 梟
咩咕咩咕雪兔, 171, 19843816, 1270, 6455, 0, 19843816, 1270, 6455, 0, 18270, 東平國, 天農
夜梟丨冬雪, 113, 19688952, 4334, 8704, 0, 19688952, 4334, 8704, 0, 16680, 山陽東郡, 梟
夜梟丨南宮, 112, 19607423, 0, 17614, 0, 21649440, 0, 17964, 0, 16963, 東平國, 梟
義丨河了貂, 41, 19551702, 5512, 27126, 714016, 22641247, 5512, 27476, 714016, 13770, 山陽東郡, 天農
夜梟丨Slb, 141, 19546952, 4725, 7844, 298482, 19546952, 4725, 7844, 298482, 16543, 山陽東郡, 梟
心如刀割, 123, 19332597, 6897, 6238, 0, 19332597, 6897, 6238, 0, 20580, 山陽東郡, 梟
方圓古風, 145, 19213354, 4435, 8624, 103849, 19213354, 4435, 8624, 103849, 19616, 東平國, 賊
小雞君, 150, 18609511, 1394, 11543, 0, 18609511, 1394, 11543, 0, 17160, 東平國, 七劍
