成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬勢力, 分組
速農丨燒餅, 12, 15322337, 0, 14640, 0, 20542530, 0, 14640, 0, 18593, 東平國, 速農
低調丨柯夢, 18, 14949994, 0, 15027, 0, 19618437, 0, 15377, 0, 16962, 東平國, 速農
速農丨衛斯理, 62, 26986800, 0, 11425, 0, 31671016, 0, 11425, 0, 20912, 東平國, 速農
管之軼, 43, 13491830, 0, 10249, 0, 17059856, 0, 10249, 0, 16319, 東平國, 天農
花丨花花瘋瘋, 110, 29574327, 0, 4790, 0, 33446630, 0, 4790, 0, 20111, 東平國, 賊
梟丨剎車, 131, 3938218, 0, 4767, 0, 6420296, 0, 4767, 0, 11599, 東平國, 七劍
七劍l萬, 22, 29395692, 0, 12759, 0, 36048187, 0, 13109, 0, 21280, 東平國, 七劍
呆丨西郎, 80, 23104575, 0, 8139, 0, 27618150, 0, 8489, 0, 19610, 東平國, 七劍
夜梟丨黑咪, 111, 19492697, 0, 5614, 0, 23698796, 0, 6314, 0, 17583, 東平國, 梟
賊丨狠爺, 34, 13775616, 0, 17108, 0, 15739428, 0, 17108, 0, 15205, 東平國, 賊
夜梟丨蒼龍, 71, 13531818, 0, 3822, 0, 13531818, 0, 3822, 0, 15153, 東平國, 梟
呆丨北郎, 75, 10113634, 0, 5597, 0, 13098561, 0, 5597, 0, 17692, 東平國, 七劍
七劍l荒, 28, 9398306, 0, 9793, 0, 12663526, 0, 9793, 0, 14280, 東平國, 七劍
速農丨P, 38, 40570112, 0, 7334, 0, 45615755, 0, 7334, 0, 25471, 東平國, 速農
速農丨比利, 78, 38037156, 0, 8450, 0, 42406197, 0, 8450, 0, 25400, 東平國, 速農
內塔尼夜壺, 33, 33919093, 0, 5083, 0, 41083195, 0, 5083, 0, 25732, 東平國, 速農
速農丨曹青, 41, 33271013, 0, 8362, 0, 38298551, 0, 8362, 0, 23373, 東平國, 速農
速農丨伊蕾娜, 119, 30914613, 0, 6720, 0, 35457436, 0, 6720, 0, 21480, 東平國, 速農
魔項羽, 79, 30549026, 0, 5930, 0, 36839272, 0, 5930, 0, 24600, 東平國, 速農
內塔夜尼壺, 5, 29479039, 0, 11783, 0, 34004000, 0, 11783, 0, 21490, 東平國, 速農
龍捲丨風, 63, 28785274, 0, 11451, 0, 33421089, 0, 11451, 0, 22521, 東平國, 速農
帥哥大蘭交, 65, 28766823, 0, 12287, 0, 31318997, 0, 12287, 0, 20993, 東平國, 賊
SP路爾斯, 86, 28626798, 0, 10052, 0, 33658550, 0, 10052, 0, 20079, 東平國, 速農
七劍l克, 104, 28525018, 0, 5313, 0, 33858025, 0, 5313, 0, 23650, 東平國, 七劍
低調丨銅怪, 23, 27254391, 0, 10042, 0, 32831044, 0, 10392, 0, 20946, 東平國, 速農
酪梨好吃, 93, 27201370, 0, 8890, 0, 31335604, 0, 8890, 0, 19430, 東平國, 天農
速農丨蒙面俠, 100, 27041176, 0, 7161, 401057, 31142103, 0, 7161, 401057, 17032, 東平國, 速農
呆丨屍符, 66, 26677388, 0, 5968, 0, 33024457, 0, 6318, 0, 21686, 東平國, 七劍
SP香奈兒, 72, 26258441, 0, 9114, 0, 31357355, 0, 9114, 0, 18693, 東平國, 速農
香丨名牌, 25, 25578565, 0, 8171, 0, 30825287, 0, 8171, 0, 21670, 東平國, 速農
速農丨麥秋, 3, 24128079, 0, 8519, 0, 29026446, 0, 8519, 0, 20086, 東平國, 速農
速農丨微涼風, 97, 24086262, 0, 5389, 0, 28877512, 0, 5389, 0, 25230, 東平國, 速農
