成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬勢力, 分組
速農丨燒餅, 10, 22878002, 0, 21310, 0, 28098195, 0, 21310, 0, 22870, 東平國, 速農
低調丨柯夢, 33, 30108949, 0, 21234, 0, 34777392, 0, 21584, 0, 19390, 東平國, 速農
速農丨衛斯理, 74, 39114810, 0, 17746, 0, 43799026, 0, 17746, 0, 22220, 東平國, 速農
管之軼, 67, 23124011, 0, 14107, 0, 26692037, 0, 14107, 0, 17410, 東平國, 天農
花丨花花瘋瘋, 91, 37758833, 0, 5637, 0, 41631136, 0, 5637, 0, 21700, 東平國, 賊
梟丨剎車, 136, 9644344, 0, 8122, 0, 12126422, 0, 8122, 0, 16863, 東平國, 七劍
七劍l萬, 42, 64292064, 0, 18550, 0, 70944559, 0, 18900, 0, 27950, 東平國, 七劍
呆丨西郎, 94, 32739138, 0, 13335, 0, 37252713, 0, 13685, 0, 23050, 東平國, 七劍
夜梟丨黑咪, 105, 28942222, 0, 11440, 0, 33148321, 0, 12140, 0, 22150, 東平國, 梟
賊丨狠爺, 34, 24234471, 0, 27563, 0, 26198283, 0, 27563, 0, 16870, 東平國, 賊
夜梟丨蒼龍, 79, 22065659, 0, 6377, 0, 22065659, 0, 6377, 0, 17533, 東平國, 梟
七劍l荒, 28, 20012318, 0, 14794, 0, 23277538, 0, 14794, 0, 18283, 東平國, 七劍
呆丨北郎, 61, 18809785, 0, 12718, 0, 21794712, 0, 12718, 0, 19670, 東平國, 七劍
夜梟丨夜雨, 171, 2086899, 0, 0, 0, 2086899, 0, 0, 0, 14821, 東平國, 梟
速農丨P, 80, 65961860, 0, 8893, 0, 71007503, 0, 8893, 0, 29080, 東平國, 速農
速農丨比利, 17, 58192941, 0, 13820, 0, 62561982, 0, 13820, 0, 26650, 東平國, 速農
速農丨曹青, 89, 57402466, 0, 10233, 0, 62430004, 0, 10233, 0, 29693, 東平國, 速農
魔項羽, 110, 52881304, 0, 7393, 0, 59171550, 0, 7393, 0, 27240, 東平國, 速農
SP路爾斯, 107, 52051369, 0, 12911, 0, 57083121, 0, 12911, 0, 24550, 東平國, 速農
龍捲丨風, 72, 51794267, 0, 18413, 0, 56430082, 0, 18413, 0, 28150, 東平國, 速農
SP香奈兒, 58, 51177311, 0, 14567, 0, 56276225, 0, 14567, 0, 25450, 東平國, 速農
呆丨屍符, 70, 50803496, 0, 11569, 0, 57150565, 0, 11919, 0, 26420, 東平國, 七劍
低調丨銅怪, 16, 50563026, 0, 14028, 0, 56139679, 0, 14378, 0, 22860, 東平國, 速農
內塔尼夜壺, 7, 46215631, 0, 8818, 0, 53379733, 0, 8818, 0, 28110, 東平國, 速農
內塔夜尼壺, 15, 44105029, 0, 17747, 0, 48629990, 0, 17747, 0, 26180, 東平國, 速農
帥哥大蘭交, 53, 43961991, 0, 23580, 0, 46514165, 0, 23580, 0, 27800, 東平國, 賊
速農丨大吉, 6, 43752585, 0, 13395, 0, 48913459, 0, 13395, 0, 25980, 東平國, 速農
七剑l强, 18, 42642384, 0, 16667, 0, 46936190, 0, 16667, 0, 22570, 東平國, 七劍
速農丨伊蕾娜, 126, 41774019, 0, 10067, 0, 46316842, 0, 10067, 0, 27960, 東平國, 速農
香丨名牌, 27, 41652702, 0, 10787, 0, 46899424, 0, 10787, 0, 22673, 東平國, 速農
速農丨蒙面俠, 108, 41255518, 0, 11214, 401057, 45356445, 0, 11214, 401057, 22162, 東平國, 速農
七劍l馳, 22, 40698870, 0, 13961, 0, 46551291, 0, 13961, 0, 26980, 東平國, 七劍
七劍l克, 128, 39875060, 0, 5911, 0, 45208067, 0, 5911, 0, 25400, 東平國, 七劍
速農丨中吉, 4, 39771936, 0, 21688, 200975, 44232647, 0, 22038, 200975, 23670, 東平國, 速農
件衫跌緊落嚟, 93, 38570086, 0, 14781, 0, 42385358, 0, 14781, 0, 21770, 東平國, 天農
