成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬勢力, 分組
速農丨燒餅, 52, 45029855, 35741, 27375, 0, 50250048, 35741, 27375, 0, 24320, 山陽東郡, 速農
低調丨柯夢, 45, 49409356, 56358, 25887, 1614175, 54077799, 56358, 26237, 1614175, 23300, 山陽東郡, 速農
速農丨衛斯理, 4, 55980024, 156046, 22502, 52098, 60664240, 156046, 22502, 52098, 26983, 山陽東郡, 速農
管之軼, 73, 39270067, 42809, 16725, 1026220, 42838093, 42809, 16725, 1026220, 19483, 山陽東郡, 天農
花丨花花瘋瘋, 53, 64569552, 65539, 6939, 0, 68441855, 65539, 6939, 0, 22393, 山陽東郡, 賊
梟丨剎車, 180, 22641245, 0, 11489, 578096, 25123323, 0, 11489, 578096, 16950, 山陽西郡, 七劍
七劍l萬, 3, 87969007, 156963, 23599, 104863, 94621502, 156963, 23949, 104863, 28650, 山陽東郡, 七劍
呆丨西郎, 62, 56566270, 42579, 19003, 135400, 61079845, 42579, 19353, 135400, 29003, 山陽東郡, 七劍
賊丨狠爺, 47, 46138767, 58375, 29987, 0, 48102579, 58375, 29987, 0, 20806, 山陽東郡, 賊
夜梟丨黑咪, 39, 44945087, 73977, 15048, 30913, 49151186, 73977, 15748, 30913, 26730, 山陽東郡, 梟
夜梟丨蒼龍, 89, 43335050, 29858, 10958, 0, 43335050, 29858, 10958, 0, 21150, 山陽東郡, 梟
七劍l荒, 66, 34026290, 36646, 16557, 109024, 37291510, 36646, 16557, 109024, 20200, 山陽東郡, 七劍
呆丨北郎, 60, 23021480, 45092, 18653, 377797, 26006407, 45092, 18653, 377797, 21190, 山陽東郡, 七劍
夜梟丨夜雨, 179, 18602461, 13457, 2520, 492055, 18602461, 13457, 2520, 492055, 17689, 山陽東郡, 梟
速農丨P, 1, 100544043, 248414, 11658, 191349, 105589686, 248414, 11658, 191349, 31173, 山陽東郡, 速農
速農丨曹青, 18, 91367671, 123412, 11561, 0, 96395209, 123412, 11561, 0, 34020, 山陽東郡, 速農
內塔尼夜壺, 2, 83028543, 169575, 11380, 0, 90192645, 169575, 11380, 0, 32910, 山陽東郡, 速農
SP路爾斯, 46, 80962221, 74862, 14986, 157283, 85993973, 74862, 14986, 157283, 31466, 山陽東郡, 速農
速農丨比利, 10, 80144264, 120272, 16332, 0, 84513305, 120272, 16332, 0, 29083, 山陽東郡, 速農
SP香奈兒, 42, 79094926, 61155, 15957, 167655, 84193840, 61155, 15957, 167655, 28576, 山陽東郡, 速農
香丨名牌, 21, 78970947, 97621, 12202, 0, 84217669, 97621, 12202, 0, 26379, 山陽東郡, 速農
速農丨中吉, 14, 73829969, 83442, 26201, 200975, 78290680, 83442, 26551, 200975, 29730, 山陽東郡, 速農
呆丨屍符, 23, 72406855, 87880, 18519, 12263, 78753924, 87880, 18869, 12263, 30550, 山陽東郡, 七劍
帥哥大蘭交, 29, 69651495, 84142, 30475, 0, 72203669, 84142, 30475, 0, 31213, 山陽東郡, 賊
內塔夜尼壺, 11, 69383419, 113638, 19827, 0, 73908380, 113638, 19827, 0, 30126, 山陽東郡, 速農
七劍l馳, 16, 69168917, 103669, 19628, 72283, 75021338, 103669, 19628, 72283, 31120, 山陽東郡, 七劍
速農丨大吉, 6, 68926834, 125506, 18064, 158360, 74087708, 125506, 18064, 158360, 28200, 山陽東郡, 速農
無敵の螢火蟲, 65, 68428625, 66820, 2444, 143922, 68428625, 66820, 2444, 143922, 30043, 山陽東郡, 速農
件衫跌緊落嚟, 69, 67804324, 47566, 19242, 0, 71619596, 47566, 19242, 0, 24863, 山陽東郡, 天農
呆丨道友, 15, 67644774, 90260, 21587, 0, 72702666, 90260, 21587, 0, 27350, 山陽東郡, 七劍
摆烂丨椰子, 17, 66107878, 63092, 26706, 239735, 70555198, 63092, 27056, 239735, 28943, 山陽東郡, 速農
低調丨橙, 48, 66035979, 55804, 19078, 0, 70964813, 55804, 19078, 0, 30190, 山陽東郡, 速農
低調丨銅怪, 30, 65812378, 68042, 15942, 124614, 71389031, 68042, 16292, 124614, 25730, 山陽東郡, 速農
香丨賀歷斯, 86, 64722191, 45629, 9681, 0, 69810490, 45629, 9681, 0, 27840, 山陽東郡, 速農
速農丨瑋哥, 50, 64399113, 54279, 12642, 0, 64399113, 54279, 12642, 0, 27030, 山陽東郡, 速農
速農丨麥秋, 9, 63990680, 95308, 19341, 61774, 68889047, 95308, 19341, 61774, 28646, 山陽東郡, 速農
龍捲丨風, 20, 63064914, 112990, 22749, 132099, 67700729, 112990, 22749, 132099, 28873, 山陽東郡, 速農
七剑l强, 28, 62202867, 78318, 21371, 0, 66496673, 78318, 21371, 0, 26320, 山陽東郡, 七劍
雙子, 61, 62194985, 37227, 24062, 150448, 66854825, 37227, 24412, 150448, 26026, 山陽東郡, 速農
鹹酥雞, 63, 61312829, 37745, 11678, 40413, 65202471, 37745, 11678, 40413, 27036, 山陽東郡, 賊
魔項羽, 7, 61156742, 150279, 11969, 0, 67446988, 150279, 11969, 0, 28220, 山陽東郡, 速農
七劍l朱, 41, 60490224, 76199, 11123, 128634, 62427368, 76199, 11123, 128634, 29583, 山陽東郡, 七劍
速農丨蒙面俠, 19, 60448462, 108337, 15716, 462358, 64549389, 108337, 15716, 462358, 24193, 山陽東郡, 速農
速農丨伊蕾娜, 24, 60042796, 112285, 12469, 0, 64585619, 112285, 12469, 0, 30320, 山陽東郡, 速農
七剑l龍, 35, 59756967, 55538, 28615, 0, 65144912, 55538, 28615, 0, 25250, 山陽東郡, 七劍
霸道龍王, 78, 59687997, 28924, 16232, 190018, 61571310, 28924, 16582, 190018, 21670, 山陽東郡, 速農
速農丨微涼風, 5, 58140173, 157302, 9713, 80892, 62931423, 157302, 9713, 80892, 30080, 山陽東郡, 速農
速農丨基囝, 67, 58115096, 36506, 23449, 68703, 62921810, 36506, 23449, 68703, 21379, 山陽東郡, 速農
路過的生命體, 56, 56106747, 44487, 15097, 26579, 56106747, 44487, 15097, 26579, 25029, 山陽東郡, 梟
大輝, 152, 55458520, 23421, 3242, 0, 58603722, 23421, 3242, 0, 28590, 山陽東郡, 速農
不倦, 57, 55395275, 51942, 18032, 179827, 55933352, 51942, 18032, 179827, 27719, 山陽東郡, 七劍
左芸, 96, 55087587, 26150, 10519, 62460, 55087587, 26150, 10519, 62460, 22720, 山陽東郡, 梟
七劍IH, 97, 54840776, 38988, 4396, 194167, 54840776, 38988, 4396, 194167, 25526, 山陽東郡, 七劍
七劍I睿, 34, 54703554, 70111, 22141, 0, 57742885, 70111, 22141, 0, 28010, 山陽東郡, 七劍
RON, 77, 54676114, 51205, 9762, 153031, 57892118, 51205, 9762, 153031, 21746, 山陽東郡, 速農
呆丨子瑜, 12, 54661023, 122725, 8367, 579234, 58530496, 122725, 8367, 579234, 28570, 山陽東郡, 七劍
七劍l富, 13, 54460464, 109611, 21609, 60685, 59698619, 109611, 21959, 60685, 29623, 山陽東郡, 七劍
呆丨中蓈, 64, 54404929, 36597, 24218, 0, 59656803, 36597, 24218, 0, 26992, 山陽東郡, 七劍
七劍l柯, 59, 54396969, 50133, 23964, 0, 57439153, 50133, 24314, 0, 28550, 山陽東郡, 七劍
内塔尼夜壺, 8, 54145733, 130647, 13060, 210737, 58790665, 130647, 13060, 210737, 25599, 山陽東郡, 速農
七劍l克, 58, 53587943, 65986, 6218, 147269, 58920950, 65986, 6218, 147269, 26200, 山陽東郡, 七劍
酪梨好吃, 55, 53011255, 49438, 16423, 60249, 57145489, 49438, 16423, 60249, 20580, 山陽東郡, 天農
花丨羊羊, 102, 52048964, 17228, 12926, 0, 56297366, 17228, 13276, 0, 25980, 山陽東郡, 天農
北境丨嘯西風, 51, 51790684, 73113, 9267, 259597, 56507025, 73113, 9617, 259597, 27270, 山陽東郡, 梟
天兵丨夜吹雪, 70, 51504711, 29235, 14718, 95816, 51504711, 29235, 14718, 95816, 20110, 山陽東郡, 梟
我想返屋企, 79, 51205340, 28759, 23278, 0, 56089375, 28759, 23628, 0, 27172, 山陽東郡, 天農
王小羽, 31, 50960018, 46635, 24733, 236397, 55223839, 46635, 25083, 236397, 26530, 山陽東郡, 速農
速農丨怕囝, 27, 50731262, 71357, 21858, 201197, 53806799, 71357, 22208, 201197, 24280, 山陽東郡, 速農
米乂雅嘎靡, 75, 50719850, 50300, 11172, 0, 52223993, 50300, 11522, 0, 24870, 山陽東郡, 七劍
找謝丨武冽, 37, 50484239, 46561, 20144, 0, 54494319, 46561, 20144, 0, 28983, 山陽東郡, 速農
七劍l哈, 120, 49081970, 33181, 3454, 165637, 49081970, 33181, 3454, 165637, 28520, 山陽東郡, 七劍
關北军, 147, 48627326, 11890, 12241, 100905, 50071861, 11890, 12241, 100905, 19630, 山陽東郡, 梟
七劍l緊, 36, 48273253, 59650, 19263, 93731, 50113189, 59650, 19613, 93731, 25873, 山陽東郡, 七劍
方圓戴歐克法, 44, 48100945, 35971, 28161, 211371, 51473989, 35971, 28511, 211371, 25466, 山陽東郡, 賊
Bululu, 107, 48032045, 21074, 16254, 90008, 51147309, 21074, 16254, 90008, 22730, 山陽東郡, 天農
小妹天天, 40, 47794320, 67243, 16459, 34054, 52888803, 67243, 16459, 34054, 23990, 山陽東郡, 天農
箂, 80, 47758017, 47336, 12111, 93685, 49355178, 47336, 12111, 93685, 22393, 山陽東郡, 速農
天兵丨醫聖鵲, 115, 47664745, 20027, 11595, 85745, 47664745, 20027, 11595, 85745, 21260, 山陽東郡, 梟
酒館丨大GG, 81, 47602540, 39678, 11438, 115681, 50612172, 39678, 11788, 115681, 23493, 山陽東郡, 梟
幻喵, 76, 46735443, 42008, 13254, 0, 46735443, 42008, 13254, 0, 20310, 山陽東郡, 梟
七劍l霍, 33, 46117312, 71959, 21231, 0, 50967778, 71959, 21231, 0, 26690, 山陽東郡, 七劍
七劍l狀, 38, 45878487, 61845, 22313, 0, 51606355, 61845, 22663, 0, 26570, 山陽東郡, 七劍
黃雀先生, 25, 45228105, 65901, 27291, 413407, 48411280, 65901, 27641, 413407, 22960, 山陽東郡, 七劍
忍者龜, 126, 45075598, 28088, 7276, 0, 45149962, 28088, 7276, 0, 21563, 山陽東郡, 天農
李健豪, 87, 44970114, 47518, 5834, 114847, 46079727, 47518, 5834, 114847, 19962, 山陽東郡, 梟
七劍l年, 108, 44574495, 21485, 19415, 0, 47320656, 21485, 19415, 0, 20788, 山陽東郡, 七劍
速農丨樣囝, 32, 44074202, 72904, 21039, 73183, 47265903, 72904, 21389, 73183, 26610, 山陽東郡, 速農
老剛, 137, 43731714, 27029, 3679, 0, 46034928, 27029, 3679, 0, 22253, 山陽東郡, 賊
