成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬勢力, 分組
夜梟丨Slb, 129, 2057082, 0, 343, 0, 2057082, 0, 343, 0, 10393, 東平國, 梟
野原廣志丨, 107, 1980378, 0, 1008, 0, 1980378, 0, 1008, 0, 11225, 東平國, 梟
夜梟丨韓豚寶, 160, 1951347, 0, 87, 0, 1951347, 0, 87, 0, 10598, 東平國, 梟
天兵丨朴彩英, 155, 1915364, 0, 1134, 0, 1915364, 0, 1134, 0, 10176, 東平國, 梟
咩咕咩咕雪兔, 158, 1430080, 0, 0, 0, 1430080, 0, 0, 0, 9979, 魯國, 天農
天農丨動物餅, 162, 812446, 0, 0, 0, 1473545, 0, 0, 0, 4783, 魯國, 小號
費明奴, 159, 569337, 0, 0, 0, 569337, 0, 0, 0, 10900, 魯國, 賊
鋼鐵頭, 150, 298485, 0, 0, 0, 298485, 0, 0, 0, 11100, 魯國, 賊
西涼馬孟起, 141, 245535, 0, 0, 0, 245535, 0, 0, 0, 13963, 東平國, 梟
夜梟丨日雨, 161, 0, 0, 0, 0, 177, 0, 0, 0, 931, 魯國, 小號
