成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬勢力, 分組
速農丨燒餅, 9, 22048118, 0, 20047, 0, 27268311, 0, 20047, 0, 22452, 東平國, 速農
低調丨柯夢, 36, 30108949, 0, 20060, 0, 34777392, 0, 20410, 0, 19390, 東平國, 速農
速農丨衛斯理, 69, 38734047, 0, 16923, 0, 43418263, 0, 16923, 0, 22080, 東平國, 速農
管之軼, 70, 21580958, 0, 13021, 0, 25148984, 0, 13021, 0, 17360, 東平國, 天農
花丨花花瘋瘋, 87, 32383752, 0, 5273, 0, 36256055, 0, 5273, 0, 21850, 東平國, 賊
梟丨剎車, 134, 9644344, 0, 7460, 0, 12126422, 0, 7460, 0, 16866, 東平國, 七劍
七劍l萬, 37, 61097217, 0, 17421, 0, 67749712, 0, 17771, 0, 26871, 東平國, 七劍
呆丨西郎, 93, 32212236, 0, 11988, 0, 36725811, 0, 12338, 0, 22820, 東平國, 七劍
夜梟丨黑咪, 108, 27689287, 0, 10150, 0, 31895386, 0, 10850, 0, 21240, 東平國, 梟
賊丨狠爺, 32, 22746066, 0, 26383, 0, 24709878, 0, 26383, 0, 16270, 東平國, 賊
夜梟丨蒼龍, 74, 21632165, 0, 6377, 0, 21632165, 0, 6377, 0, 17533, 東平國, 梟
七劍l荒, 24, 20012318, 0, 13692, 0, 23277538, 0, 13692, 0, 18183, 東平國, 七劍
呆丨北郎, 60, 16706203, 0, 11553, 0, 19691130, 0, 11553, 0, 19670, 東平國, 七劍
夜梟丨夜雨, 168, 594546, 0, 0, 0, 594546, 0, 0, 0, 14703, 東平國, 梟
速農丨P, 75, 63875555, 0, 8893, 0, 68921198, 0, 8893, 0, 28780, 東平國, 速農
速農丨曹青, 89, 53771192, 0, 9412, 0, 58798730, 0, 9412, 0, 28723, 東平國, 速農
