成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬勢力, 分組
速農丨燒餅, 50, 45607394, 49171, 27375, 0, 50827587, 49171, 27375, 0, 24520, 山陽東郡, 速農
低調丨柯夢, 39, 51276202, 67773, 25887, 1787349, 55944645, 67773, 26237, 1787349, 23300, 山陽東郡, 速農
速農丨衛斯理, 5, 57057860, 175185, 22598, 52098, 61742076, 175185, 22598, 52098, 27080, 山陽東郡, 速農
管之軼, 79, 39306887, 47928, 16725, 1194374, 42874913, 47928, 16725, 1194374, 19483, 山陽東郡, 天農
花丨花花瘋瘋, 54, 64738692, 68924, 6939, 0, 68610995, 68924, 6939, 0, 22393, 山陽東郡, 賊
梟丨剎車, 181, 22641245, 0, 11489, 578096, 25123323, 0, 11489, 578096, 16950, 山陽西郡, 七劍
七劍l萬, 4, 88557490, 168736, 23599, 104863, 95209985, 168736, 23949, 104863, 28650, 山陽東郡, 七劍
呆丨西郎, 61, 57092553, 53102, 19003, 157298, 61606128, 53102, 19353, 157298, 29003, 山陽東郡, 七劍
賊丨狠爺, 51, 48070893, 60647, 30037, 0, 50034705, 60647, 30037, 0, 20780, 山陽東郡, 賊
夜梟丨黑咪, 34, 45926504, 89567, 15048, 30913, 50132603, 89567, 15748, 30913, 26730, 山陽東郡, 梟
夜梟丨蒼龍, 93, 43766192, 32302, 10958, 0, 43766192, 32302, 10958, 0, 21150, 山陽東郡, 梟
七劍l荒, 63, 35038076, 45409, 16557, 109024, 38303296, 45409, 16557, 109024, 20210, 山陽東郡, 七劍
呆丨北郎, 59, 23488985, 54447, 18653, 377797, 26473912, 54447, 18653, 377797, 21190, 山陽東郡, 七劍
夜梟丨夜雨, 177, 19251250, 16625, 2520, 492055, 19251250, 16625, 2520, 492055, 17689, 山陽東郡, 梟
速農丨P, 1, 104405829, 294448, 11658, 191349, 109451472, 294448, 11658, 191349, 31170, 山陽東郡, 速農
速農丨曹青, 18, 92788006, 138535, 11561, 0, 97815544, 138535, 11561, 0, 35020, 山陽東郡, 速農
內塔尼夜壺, 2, 84964095, 197934, 11582, 0, 92128197, 197934, 11582, 0, 32750, 山陽東郡, 速農
SP香奈兒, 40, 83156146, 71422, 16057, 167655, 88255060, 71422, 16057, 167655, 28979, 山陽東郡, 速農
SP路爾斯, 43, 82351405, 82525, 14986, 157283, 87383157, 82525, 14986, 157283, 31459, 山陽東郡, 速農
速農丨比利, 11, 81882908, 135829, 16332, 0, 86251949, 135829, 16332, 0, 29083, 山陽東郡, 速農
香丨名牌, 19, 80665359, 115679, 12202, 0, 85912081, 115679, 12202, 0, 26379, 山陽東郡, 速農
速農丨中吉, 15, 75234521, 97785, 26697, 200975, 79695232, 97785, 27047, 200975, 29330, 山陽東郡, 速農
呆丨屍符, 22, 73189363, 103536, 18620, 12263, 79536432, 103536, 18970, 12263, 30550, 山陽東郡, 七劍
七劍l馳, 13, 71961227, 128291, 19628, 72283, 77813648, 128291, 19628, 72283, 31000, 山陽東郡, 七劍
內塔夜尼壺, 7, 70942912, 138762, 20177, 0, 75467873, 138762, 20177, 0, 30090, 山陽東郡, 速農
帥哥大蘭交, 29, 70469757, 95339, 30475, 0, 73021931, 95339, 30475, 0, 31213, 山陽東郡, 賊
無敵の螢火蟲, 60, 70135407, 80710, 2444, 201406, 70135407, 80710, 2444, 201406, 29880, 山陽東郡, 速農
速農丨大吉, 6, 69884767, 130852, 18266, 158360, 75045641, 130852, 18266, 158360, 28200, 山陽東郡, 速農
呆丨道友, 17, 69000991, 101201, 21587, 0, 74058883, 101201, 21587, 0, 27760, 山陽東郡, 七劍
件衫跌緊落嚟, 69, 68735557, 52562, 19242, 0, 72550829, 52562, 19242, 0, 24863, 山陽東郡, 天農
摆烂丨椰子, 21, 68673229, 67382, 26706, 239735, 73120549, 67382, 27056, 239735, 29040, 山陽東郡, 速農
速農丨瑋哥, 45, 67430951, 63401, 12792, 0, 67430951, 63401, 12792, 0, 27500, 山陽東郡, 速農
低調丨橙, 46, 66326143, 62525, 19078, 0, 71254977, 62525, 19078, 0, 30190, 山陽東郡, 速農
低調丨銅怪, 31, 66251305, 76822, 15942, 124614, 71827958, 76822, 16292, 124614, 25730, 山陽東郡, 速農
鹹酥雞, 67, 65968169, 43045, 11678, 40413, 69857811, 43045, 11678, 40413, 27036, 山陽東郡, 賊
速農丨麥秋, 9, 65917773, 114448, 19519, 91510, 70816140, 114448, 19519, 91510, 28543, 山陽東郡, 速農
香丨賀歷斯, 86, 65632556, 49769, 9681, 0, 70720855, 49769, 9681, 0, 28240, 山陽東郡, 速農
龍捲丨風, 16, 64546605, 140972, 22850, 132099, 69182420, 140972, 22850, 132099, 29033, 山陽東郡, 速農
雙子, 71, 64199966, 37691, 24062, 150448, 68859806, 37691, 24412, 150448, 26123, 山陽東郡, 速農
七剑l强, 28, 62432845, 82920, 21371, 0, 66726651, 82920, 21371, 0, 26320, 山陽東郡, 七劍
霸道龍王, 75, 62126323, 34596, 16282, 190018, 64009636, 34596, 16632, 190018, 21673, 山陽東郡, 速農
魔項羽, 8, 61450817, 157753, 11969, 0, 67741063, 157753, 11969, 0, 28220, 山陽東郡, 速農
速農丨蒙面俠, 20, 60919075, 114772, 15766, 472912, 65020002, 114772, 15766, 472912, 24493, 山陽東郡, 速農
速農丨伊蕾娜, 23, 60786817, 127170, 12469, 0, 65329640, 127170, 12469, 0, 30340, 山陽東郡, 速農
七剑l龍, 33, 60648340, 65298, 28615, 87461, 66036285, 65298, 28615, 87461, 25846, 山陽東郡, 七劍
七劍l朱, 49, 60534255, 77080, 11123, 128634, 62471399, 77080, 11123, 128634, 29586, 山陽東郡, 七劍
速農丨微涼風, 3, 59794610, 187155, 10016, 80892, 64585860, 187155, 10016, 80892, 30080, 山陽東郡, 速農
速農丨基囝, 70, 58456262, 41527, 23449, 68703, 63262976, 41527, 23449, 68703, 21379, 山陽東郡, 速農
七劍IH, 89, 57057121, 47222, 4492, 194167, 57057121, 47222, 4492, 194167, 25683, 山陽東郡, 七劍
不倦, 58, 56292752, 58791, 18032, 179827, 56830829, 58791, 18032, 179827, 28239, 山陽東郡, 七劍
路過的生命體, 62, 56277054, 45615, 15097, 26579, 56277054, 45615, 15097, 26579, 25189, 山陽東郡, 梟
大輝, 148, 56115814, 27030, 3242, 0, 59261016, 27030, 3242, 0, 28590, 山陽東郡, 速農
七劍l富, 14, 55958139, 122480, 21710, 60685, 61196294, 122480, 22060, 60685, 29620, 山陽東郡, 七劍
RON, 74, 55957240, 57033, 9762, 153031, 59173244, 57033, 9762, 153031, 21746, 山陽東郡, 速農
七劍l柯, 57, 55745556, 59128, 24183, 0, 58787740, 59128, 24533, 0, 28600, 山陽東郡, 七劍
左芸, 99, 55681560, 30529, 10970, 62460, 55681560, 30529, 10970, 62460, 22880, 山陽東郡, 梟
七劍I睿, 37, 55496097, 77817, 22141, 0, 58535428, 77817, 22141, 0, 28010, 山陽東郡, 七劍
呆丨子瑜, 12, 55455412, 134419, 8367, 628802, 59324885, 134419, 8367, 628802, 28570, 山陽東郡, 七劍
