成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬勢力, 分組
速農丨P, 1, 81923188, 118541, 10748, 191349, 86968831, 118541, 10748, 191349, 30950, 山陽東郡, 速農
魔項羽, 6, 57810139, 83324, 11619, 0, 64100385, 83324, 11619, 0, 28180, 山陽東郡, 速農
內塔尼夜壺, 2, 75935857, 82752, 11178, 0, 83099959, 82752, 11178, 0, 30890, 山陽東郡, 速農
七劍l萬, 5, 77205624, 69639, 23139, 104863, 83858119, 69639, 23489, 104863, 28090, 山陽東郡, 七劍
速農丨伊蕾娜, 23, 55648084, 68805, 11769, 0, 60190907, 68805, 11769, 0, 29618, 山陽東郡, 速農
速農丨微涼風, 13, 51789659, 68789, 9612, 80892, 56580909, 68789, 9612, 80892, 29560, 山陽東郡, 速農
速農丨衛斯理, 11, 51480195, 67477, 22406, 52098, 56164411, 67477, 22406, 52098, 26660, 山陽東郡, 速農
速農丨大吉, 4, 64187847, 60443, 17630, 158360, 69348721, 60443, 17630, 158360, 25683, 山陽東郡, 速農
七劍l富, 9, 46072293, 60125, 20653, 60685, 51310448, 60125, 21003, 60685, 27340, 山陽東郡, 七劍
内塔尼夜壺, 15, 49247293, 59687, 12509, 210737, 53892225, 59687, 12509, 210737, 24083, 山陽東郡, 速農
速農丨比利, 12, 73468085, 55913, 16009, 0, 77837126, 55913, 16009, 0, 28593, 山陽東郡, 速農
龍捲丨風, 24, 57647491, 54636, 22175, 132099, 62283306, 54636, 22175, 132099, 28693, 山陽東郡, 速農
七劍l馳, 17, 55542467, 52445, 17867, 72283, 61394888, 52445, 17867, 72283, 28993, 山陽東郡, 七劍
七劍I雞, 16, 29252423, 51892, 18363, 0, 32716518, 51892, 18363, 0, 21780, 山陽東郡, 七劍
速農丨蒙面俠, 22, 53793269, 51564, 15428, 462358, 57894196, 51564, 15428, 462358, 23730, 山陽東郡, 速農
速農丨中吉, 7, 61833723, 44639, 25330, 200975, 66294434, 44639, 25680, 200975, 26210, 山陽東郡, 速農
呆丨道友, 10, 57833637, 44275, 21587, 0, 62891529, 44275, 21587, 0, 27359, 山陽東郡, 七劍
摆烂丨椰子, 3, 48884479, 42761, 26417, 239735, 53331799, 42761, 26767, 239735, 28790, 山陽東郡, 速農
